rest-assured/rest-assured,bbede9fff77d4f1b751cdada0bdf8fe8d928919a,modules/spring-web-test-client,5487
spring-projects/spring-boot,daa3d457b71896a758995c264977bdd1414ee4d4,spring-boot-project/spring-boot,60827
spring-projects/spring-boot,daa3d457b71896a758995c264977bdd1414ee4d4,spring-boot-project/spring-boot-actuator-autoconfigure,35334
spring-projects/spring-data-envers,5637994be37747e82b2d6d5b34555e2bee791fe6,.,1162
spring-projects/spring-ws,e8d89c9eb0929dda304174729c9c69fb29f448eb,spring-ws-security,6862
tbsalling/aismessages,7b0c4c708b6bb9a6da3d5737bcad1857ade8a931,.,6673
tools4j/unix4j,367da7d262e682a08577cdf19ebbbdd8a46870fe,unix4j-core/unix4j-command,11444
undertow-io/undertow,d0efffad5d2034bb07525cac9b299dac72c3045d,websockets-jsr,9371
vaadin/flow,26aacd3cdf51c7e0a18ae21318d366ce7f91be8a,flow-polymer-template,8042
vmware/admiral,e4b02936cc7d4ff2714e7231db0c4373ba5d48a2,request,31711
wikidata/wikidata-toolkit,20de6f7f12319f54eb962ff6e8357b3f5695d54d,wdtk-util,1097
wildfly/wildfly,b19048b72669fc0e96665b1b125dc1fda21f5993,naming,10635
winder/Universal-G-Code-Sender,4426f71c900ddd4a1eeb3957f3275cedc6312534,ugs-core,28865
winder/Universal-G-Code-Sender,4426f71c900ddd4a1eeb3957f3275cedc6312534,ugs-platform/ugs-platform-plugin-cloud-storage,768
yangfuhai/jboot,4bffb4dff4ce5190917491a1b68f79efbfe99650,.,37024
66,,,82053.530
