#project,sha,module,test,polluter,time_of_phase_0,time_of_phase_1,time_of_phase_2,time_of_phase_3,time_of_phase_4(before),time_of_phase_4(after),time_of_phase_5,time_of_phase_diffFieldAfter,polluted_field,num_of_all_fields,num_of_roots,num_of_diffFields
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-registry,org.apache.hadoop.registry.client.binding.TestRegistryOperationUtils.testUsernameExtractionEnvVarOverrride,org.apache.hadoop.registry.secure.TestSecureRegistry.testCreateSecureZK,77.773,0.439,1.719,0,19.699,0,1.515,144.317,org.apache.hadoop.security.UserGroupInformation.authenticationMethod,2646,2646,26
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-common-project/hadoop-auth,org.apache.hadoop.security.authentication.util.TestKerberosName.testRules,org.apache.hadoop.security.authentication.util.TestKerberosUtil.testGetServerPrincipal,1315.829,0.471,0.999,0,187.627,0,1.199,1082.779,org.apache.hadoop.security.authentication.util.KerberosName.defaultRealm,6482,6478,13
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-hdfs-project/hadoop-hdfs-httpfs,org.apache.hadoop.test.TestHFSTestCase.testHadoopFileSystem,org.apache.hadoop.test.TestHFSTestCase.waitFor,31.206,7.295,39.098,0,1278.013,0,180.581,0,FAIL,8075,8063,844
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-timelineservice,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderWebServices.testAbout,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderMetrics.testTimelineReaderMetrics,6.227,3.001,17.439,0,10.865,0,4.874,56.739,org.apache.hadoop.yarn.server.timelineservice.metrics.TimelineReaderMetrics.instance,1720,1720,26
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-timelineservice,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderWebServices.testGetAppAttempt,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderMetrics.testTimelineReaderMetrics,5.794,3.362,15.894,0,6.476,0,3.96,57.539,org.apache.hadoop.yarn.server.timelineservice.metrics.TimelineReaderMetrics.instance,1720,1720,26
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-timelineservice,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderWebServices.testGetAppAttempts,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderMetrics.testTimelineReaderMetrics,5.523,2.937,17.971,0,10.188,0,4.616,64.455,org.apache.hadoop.yarn.server.timelineservice.metrics.TimelineReaderMetrics.instance,1720,1720,26
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-timelineservice,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderWebServices.testGetContainer,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderMetrics.testTimelineReaderMetrics,4.025,2.532,11.601,0,7.591,0,3.625,64.847,org.apache.hadoop.yarn.server.timelineservice.metrics.TimelineReaderMetrics.instance,1720,1720,26
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-timelineservice,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderWebServices.testGetContainers,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderMetrics.testTimelineReaderMetrics,4.374,2.497,21.43,0,9.083,0,4.572,51.399,org.apache.hadoop.yarn.server.timelineservice.metrics.TimelineReaderMetrics.instance,1720,1720,26
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-timelineservice,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderWebServices.testGetEntities,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderMetrics.testTimelineReaderMetrics,4.978,2.785,20.482,0,15.256,0,6.979,60.795,org.apache.hadoop.yarn.server.timelineservice.metrics.TimelineReaderMetrics.instance,1720,1720,26
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-timelineservice,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderWebServices.testGetEntitiesBasedOnCreatedTime,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderMetrics.testTimelineReaderMetrics,4.555,2.761,14.189,0,6.451,0,2.689,59.455,org.apache.hadoop.yarn.server.timelineservice.metrics.TimelineReaderMetrics.instance,1720,1720,26
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-timelineservice,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderWebServices.testGetEntitiesByConfigFilters,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderMetrics.testTimelineReaderMetrics,6.995,4.342,23.51,0,9.043,0,3.237,55.163,org.apache.hadoop.yarn.server.timelineservice.metrics.TimelineReaderMetrics.instance,1720,1720,26
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-timelineservice,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderWebServices.testGetEntitiesByEventFilters,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderMetrics.testTimelineReaderMetrics,4.99,2.287,10.631,0,10.666,0,4.968,76.682,org.apache.hadoop.yarn.server.timelineservice.metrics.TimelineReaderMetrics.instance,1720,1720,26
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-timelineservice,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderWebServices.testGetEntitiesByInfoFilters,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderMetrics.testTimelineReaderMetrics,4.82,2.798,21.646,0,16.96,0,5.863,58.253,org.apache.hadoop.yarn.server.timelineservice.metrics.TimelineReaderMetrics.instance,1720,1720,26
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-timelineservice,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderWebServices.testGetEntitiesByMetricFilters,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderMetrics.testTimelineReaderMetrics,8.405,3.654,26.343,0,9.989,0,3.598,58.538,org.apache.hadoop.yarn.server.timelineservice.metrics.TimelineReaderMetrics.instance,1720,1720,26
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-timelineservice,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderWebServices.testGetEntitiesByRelations,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderMetrics.testTimelineReaderMetrics,4.477,2.031,16.041,0,11.508,0,6.924,75.231,org.apache.hadoop.yarn.server.timelineservice.metrics.TimelineReaderMetrics.instance,1720,1720,26
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-timelineservice,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderWebServices.testGetEntitiesNoMatch,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderMetrics.testTimelineReaderMetrics,5.067,2.448,17.252,0,9.024,0,4.402,57.835,org.apache.hadoop.yarn.server.timelineservice.metrics.TimelineReaderMetrics.instance,1720,1720,26
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-timelineservice,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderWebServices.testGetEntitiesWithLimit,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderMetrics.testTimelineReaderMetrics,7.163,3.907,24.271,0,9.27,0,5.69,54.622,org.apache.hadoop.yarn.server.timelineservice.metrics.TimelineReaderMetrics.instance,1720,1720,26
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-timelineservice,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderWebServices.testGetEntityAllFields,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderMetrics.testTimelineReaderMetrics,4.406,2.656,14.613,0,9.44,0,5.712,71.228,org.apache.hadoop.yarn.server.timelineservice.metrics.TimelineReaderMetrics.instance,1720,1720,26
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-timelineservice,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderWebServices.testGetEntityCustomFields,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderMetrics.testTimelineReaderMetrics,5.626,3.471,17.736,0,8.656,0,4.078,56.863,org.apache.hadoop.yarn.server.timelineservice.metrics.TimelineReaderMetrics.instance,1720,1720,26
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-timelineservice,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderWebServices.testGetEntityNotPresent,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderMetrics.testTimelineReaderMetrics,6.956,3.843,23.971,0,9.551,0,6.046,66.818,org.apache.hadoop.yarn.server.timelineservice.metrics.TimelineReaderMetrics.instance,1720,1720,26
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-timelineservice,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderWebServices.testGetEntityWithUserAndFlowInfo,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderMetrics.testTimelineReaderMetrics,5.3,3.158,20.029,0,11.367,0,6.697,70.509,org.apache.hadoop.yarn.server.timelineservice.metrics.TimelineReaderMetrics.instance,1720,1720,26
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-timelineservice,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderWebServices.testInvalidValuesHandling,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderMetrics.testTimelineReaderMetrics,6.456,2.743,17.291,0,7.173,0,4.074,60.594,org.apache.hadoop.yarn.server.timelineservice.metrics.TimelineReaderMetrics.instance,1720,1720,26
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-timelineservice,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderWebServices.testQueryWithoutCluster,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderMetrics.testTimelineReaderMetrics,6.612,4.426,18.846,0,10.447,0,5.191,65.546,org.apache.hadoop.yarn.server.timelineservice.metrics.TimelineReaderMetrics.instance,1720,1720,26
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-timelineservice,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderWebServicesBasicAcl.testTimelineReaderManagerAclsWhenDisabled,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderMetrics.testTimelineReaderMetrics,1.882,0.737,8.686,0,8.792,0,3.087,28.85,org.apache.hadoop.yarn.server.timelineservice.metrics.TimelineReaderMetrics.instance,1247,1247,28
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-timelineservice,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderWebServicesBasicAcl.testTimelineReaderManagerAclsWhenEnabled,org.apache.hadoop.yarn.server.timelineservice.reader.TestTimelineReaderMetrics.testTimelineReaderMetrics,2.308,0.669,7.929,0,6.626,0,1.987,27.644,org.apache.hadoop.yarn.server.timelineservice.metrics.TimelineReaderMetrics.instance,1247,1247,28
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-timelineservice-hbase-tests,org.apache.hadoop.yarn.server.timelineservice.storage.flow.TestHBaseStorageFlowRunCompaction.testWriteScanBatchLimit,org.apache.hadoop.yarn.server.timelineservice.storage.flow.TestHBaseStorageFlowRunCompaction.testWriteNonNumericData,692.677,28.028,482.757,0,448.421,0,24.055,0.013,FAIL,8970,null,0
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-timelineservice-hbase-tests,org.apache.hadoop.yarn.server.timelineservice.storage.TestHBaseTimelineStorageEntities.testWriteEntityToHBase,org.apache.hadoop.yarn.server.timelineservice.storage.TestHBaseTimelineStorageEntities.testReadEntitiesMetricFilters,123.209,28.073,397.981,0,386.484,0,128.565,0,FAIL,8686,8669,1127
apache/hbase,881c92b892844be567d5f26b161a820ebf319f84,hbase-replication,org.apache.hadoop.hbase.replication.TestZKReplicationPeerStorage.test,org.apache.hadoop.hbase.replication.TestZKReplicationPeerStorage.testNoSyncReplicationState,3.739,21.306,0,10.61,6.318,0,4.007,83.226,FAIL,802,802,21
apache/incubator-dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-filter/dubbo-filter-cache,org.apache.dubbo.cache.support.jcache.JCacheFactoryTest.testJCacheGetExpired,org.apache.dubbo.cache.support.jcache.JCacheFactoryTest.testJCacheFactory,8.584,4.013,27.522,0,32.471,0,9.871,306.156,FAIL,1968,1968,30
apache/incubator-dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-serialization/dubbo-serialization-fst,org.apache.dubbo.common.serialize.fst.FstObjectInputTest.testEmptyByteArrayForEmptyInput,org.apache.dubbo.common.serialize.fst.FstObjectInputTest.testWrongClassInput,1.556,0.621,1.701,0,1.748,0,1.522,5.076,org.nustaq.serialization.FSTConfiguration$FSTDefaultStreamCoderFactory.input,74,74,5
apache/incubator-dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-common,org.apache.dubbo.common.threadlocal.InternalThreadLocalTest.testSize,org.apache.dubbo.common.threadlocal.InternalThreadLocalTest.testSetAndGet,1.878,0.536,0,1.811,1.075,0,0.72,2.726,org.apache.dubbo.common.threadlocal.InternalThreadLocalMap.nextIndex,31,31,3
apache/incubator-dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-config/dubbo-config-api,org.apache.dubbo.config.AbstractInterfaceConfigTest.testCheckRegistry2,org.apache.dubbo.config.AbstractInterfaceConfigTest.testLoadRegistries,2.156,0.673,1.932,0,2.819,0,2.655,16.016,java.lang.System.props,430,430,16
apache/incubator-dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-config/dubbo-config-api,org.apache.dubbo.config.cache.CacheTest.testCache,org.apache.dubbo.config.AbstractInterfaceConfigTest.testLoadRegistries,114.288,4.026,30.052,0,278.093,0,10.928,751.443,java.lang.System.props,2016,2016,72
apache/incubator-dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-config/dubbo-config-spring,org.apache.dubbo.config.spring.extension.SpringExtensionFactoryTest.testGetExtensionByType,org.apache.dubbo.config.spring.beans.factory.annotation.ReferenceAnnotationBeanPostProcessorTest.test,252.128,0.676,2.929,0,161.503,0,2.213,207.484,FAIL,2811,2809,31
apache/incubator-dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-config/dubbo-config-spring,org.apache.dubbo.config.spring.extension.SpringExtensionFactoryTest.testGetExtensionByTypeMultiple,org.apache.dubbo.config.spring.beans.factory.annotation.ReferenceAnnotationBeanPostProcessorTest.testGetReferenceBeans,268.145,0.782,3.617,0,195.971,0,3.098,427.388,FAIL,2811,2809,31
apache/incubator-dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-config/dubbo-config-api,org.apache.dubbo.config.validation.ValidationTest.testValidation,org.apache.dubbo.config.AbstractInterfaceConfigTest.testLoadRegistries,1061.65,1.3,28.006,0,44.294,0,9.662,448.696,java.lang.System.props,1792,1792,121
apache/incubator-dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-registry/dubbo-registry-default,org.apache.dubbo.registry.dubbo.RegistryProtocolTest.testDestoryRegistry,org.apache.dubbo.registry.dubbo.RegistryProtocolTest.testExportUrlNull,27.48,1.168,28.006,0,55.538,0,18.18,252.467,FAIL,1087,1087,156
apache/incubator-dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-registry/dubbo-registry-default,org.apache.dubbo.registry.dubbo.RegistryProtocolTest.testNotifyOverride,org.apache.dubbo.registry.dubbo.RegistryProtocolTest.testExport,25.997,1.166,28.007,0,9.635,0,2.58,28.439,FAIL,1071,1071,23
apache/incubator-dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-registry/dubbo-registry-default,org.apache.dubbo.registry.dubbo.RegistryProtocolTest.testNotifyOverride_notmatch,org.apache.dubbo.registry.dubbo.RegistryProtocolTest.testExport,27.332,1.186,28.007,0,59.354,0,17.884,220.926,FAIL,1087,1087,134
apache/incubator-dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-cluster,org.apache.dubbo.rpc.cluster.StickyTest.testMethodStickyNoCheck,org.apache.dubbo.rpc.cluster.StickyTest.testMethodsSticky,57.488,0.621,0,14.922,3.554,0,5.076,31.853,org.apache.dubbo.common.extension.ExtensionLoader.EXTENSION_LOADERS,792,791,25
apache/incubator-dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-cluster,org.apache.dubbo.rpc.cluster.StickyTest.testStickyNoCheck,org.apache.dubbo.rpc.cluster.StickyTest.testStickyForceCheck,56.962,0.599,0,15.049,3.422,0,4.485,34.43,org.apache.dubbo.common.extension.ExtensionLoader.EXTENSION_LOADERS,792,792,27
apache/incubator-dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-cluster,org.apache.dubbo.rpc.cluster.support.ForkingClusterInvokerTest.testClearRpcContext,org.apache.dubbo.rpc.cluster.router.tag.TagRouterTest.testRoute_matchDefault,250.932,1.552,6.858,0,23.974,0,3.608,263.218,org.apache.dubbo.common.threadlocal.InternalThreadLocalMap.slowThreadLocalMap,1137,1137,20
apache/incubator-dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-rpc/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo.telnet.ChangeTelnetHandlerTest.testChangeServiceNotExport,org.apache.dubbo.rpc.protocol.dubbo.ReferenceCountExchangeClientTest.test_share_connect,1029.226,0.746,3.314,0,191.795,0,1.679,1817.392,FAIL,1638,1622,21
apache/incubator-dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-rpc/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo.telnet.PortTelnetHandlerTest.testListAllPort,org.apache.dubbo.rpc.protocol.dubbo.DubboInvokerAvilableTest.test_Normal_ChannelReadOnly,380.077,0.873,19.325,0,168.12,0,5.126,2512.488,org.apache.dubbo.rpc.protocol.dubbo.DubboProtocol.INSTANCE,1621,1621,69
apache/incubator-dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-rpc/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo.telnet.PortTelnetHandlerTest.testListDetail,org.apache.dubbo.rpc.protocol.dubbo.DubboInvokerAvilableTest.test_Normal_ChannelReadOnly,378.377,1.067,22.312,0,102.39,0,5.829,1458.236,org.apache.dubbo.rpc.protocol.dubbo.DubboProtocol.INSTANCE,1619,1619,68
apache/incubator-dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-rpc/dubbo-rpc-api,org.apache.dubbo.rpc.proxy.javassist.JavassistProxyFactoryTest.testGetInvoker,org.apache.dubbo.rpc.RpcContextTest.testAsync,1.939,0.725,4.006,0,1.471,0,0.93,7.594,org.apache.dubbo.common.threadlocal.InternalThreadLocalMap.slowThreadLocalMap,162,162,8
apache/incubator-dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-rpc/dubbo-rpc-api,org.apache.dubbo.rpc.proxy.jdk.JdkProxyFactoryTest.testGetInvoker,org.apache.dubbo.rpc.RpcContextTest.testAsync,9.229,0.45,0.925,0,0.91,0,0.591,4.562,org.apache.dubbo.common.threadlocal.InternalThreadLocalMap.slowThreadLocalMap,162,162,8
apache/incubator-ratis,bc9d7615d8ffa30e79a36b9fd1950af38f0f6a49,ratis-server,org.apache.ratis.server.impl.TestRetryCacheMetrics.testRetryCacheEntryCount,org.apache.ratis.server.impl.TestRetryCacheMetrics.testRetryCacheHitMissCount,30.787,1.438,5.845,0,8.066,0,4.146,25.573,FAIL,650,650,15
apache/jackrabbit-oak,11985b3fbbd4f7f39dfaf368b01b5e0c67a32f0d,oak-core,org.apache.jackrabbit.oak.plugins.index.property.OrderedPropertyIndexProviderTest.singleQueryRun,org.apache.jackrabbit.oak.plugins.index.property.OrderedPropertyIndexProviderTest.multipleQueryRuns,2.56,1.057,0,4.63,3.975,0,2.095,18.894,org.apache.jackrabbit.oak.plugins.index.property.OrderedPropertyIndexProvider.hits,727,727,14
apache/karaf,b368a87cba0f0e235d5dae72fd6c3559b50fb75c,main,org.apache.karaf.main.MainLockingTest.testLostMasterLockAfterThreshold,org.apache.karaf.main.MainLockingTest.testRetainsMasterLockOverFluctuation,270.542,10.635,0,32.04,45.034,0,12.717,301.049,org.apache.karaf.main.Main.LOG,1048,1047,17
apache/shardingsphere-elasticjob,bdfcaff0c1a702c3ecb44adf46d609a3f0e86c5e,elasticjob-cloud/elasticjob-cloud-scheduler,org.apache.shardingsphere.elasticjob.cloud.scheduler.env.BootstrapEnvironmentTest.assertWithoutEventTraceRdbConfiguration,org.apache.shardingsphere.elasticjob.cloud.scheduler.env.BootstrapEnvironmentTest.assertGetEventTraceRdbConfigurationMap,1.991,0.773,1.883,0,1.968,0,1.39,6.789,org.apache.shardingsphere.elasticjob.cloud.scheduler.env.BootstrapEnvironment.INSTANCE,209,206,5
apache/shardingsphere-elasticjob,bdfcaff0c1a702c3ecb44adf46d609a3f0e86c5e,elasticjob-cloud/elasticjob-cloud-scheduler,org.apache.shardingsphere.elasticjob.cloud.scheduler.mesos.AppConstraintEvaluatorTest.assertExistExecutorOnS0,org.apache.shardingsphere.elasticjob.cloud.scheduler.mesos.AppConstraintEvaluatorTest.assertGetExecutorError,74.252,1.336,20.474,0,525.044,0,6.54,91.83,FAIL,3899,3782,21
apache/skywalking,edf0bce37f682c093d1ea5bcca0a6d2d1ecc2cc4,apm-commons/apm-datacarrier,org.apache.skywalking.apm.commons.datacarrier.consumer.ConsumerTest.testConsumerMoreThanChannel,org.apache.skywalking.apm.commons.datacarrier.consumer.ConsumerTest.testConsumerLessThanChannel,5.483,4.694,2.899,0,3.035,0,2.712,8.648,org.apache.skywalking.apm.commons.datacarrier.consumer.ConsumerTest.BUFFER,38,38,3
c2mon/c2mon,d80687b119c713dd177a58cf53a997d8cc5ca264,c2mon-server/c2mon-server-elasticsearch,cern.c2mon.server.elasticsearch.tag.config.TagConfigDocumentIndexerTests.reindexTagConfigDocuments,cern.c2mon.server.elasticsearch.tag.config.TagConfigDocumentIndexerTests.addDataTag,35.005,18.216,34.016,0,50.016,0,5.599,0.001,FAIL,9078,8998,0
CloudSlang/cloud-slang,48923570780dd096e0cf17ef657b6b1fdc50dc31,cloudslang-entities,io.cloudslang.fortest.SensitiveValueTest.testEncryptedStringSensitiveValue,io.cloudslang.lang.entities.encryption.EncryptorConfigTest.testEncryptionWithoutEncryptorImplementation,2.664,0.956,4.098,0,4.437,0,2.987,33.318,FAIL,620,620,21
CloudSlang/cloud-slang,48923570780dd096e0cf17ef657b6b1fdc50dc31,cloudslang-entities,io.cloudslang.fortest.SensitiveValueTest.testEncryptedStringSensitiveValuePreEncrypted,io.cloudslang.lang.entities.encryption.EncryptorConfigTest.testEncryptionWithoutEncryptorImplementation,2.626,1.421,4.253,0,4.222,0,3.017,31.097,FAIL,620,620,21
CloudSlang/cloud-slang,48923570780dd096e0cf17ef657b6b1fdc50dc31,cloudslang-entities,io.cloudslang.fortest.SensitiveValueTest.testSensitiveValueEncryptDecrypt,io.cloudslang.lang.entities.encryption.EncryptorConfigTest.testEncryptionWithoutEncryptorImplementation,2.495,0.935,4.044,0,4.346,0,2.87,31.061,FAIL,620,620,21
ConsenSys/tessera,ecdd1a2ce6412c11a8ae722d7a4527a4a66da688,tessera-partyinfo,com.quorum.tessera.discovery.DiscoveryFactoryTest.defaultConstructor,com.quorum.tessera.discovery.DiscoveryTest.getInstance,58.027,1.716,7.034,0,9.252,0,3.303,49.665,FAIL,1287,1278,15
ConsenSys/tessera,ecdd1a2ce6412c11a8ae722d7a4527a4a66da688,tessera-partyinfo,com.quorum.tessera.discovery.DiscoveryFactoryTest.provideAutoDiscovery,com.quorum.tessera.discovery.DiscoveryTest.getInstance,60.59,1.687,6.41,0,9.67,0,3.131,48.551,FAIL,1400,1389,14
ConsenSys/tessera,ecdd1a2ce6412c11a8ae722d7a4527a4a66da688,tessera-partyinfo,com.quorum.tessera.discovery.DiscoveryFactoryTest.provideDisabledAutoDiscovery,com.quorum.tessera.discovery.DiscoveryTest.getInstance,60.616,1.665,7.033,0,11.462,0,3.222,49.702,FAIL,1403,1392,14
ConsenSys/tessera,ecdd1a2ce6412c11a8ae722d7a4527a4a66da688,eclipselink-utils,com.quorum.tessera.eclipselink.AtomicLongSequenceTest.customisedWithDbLogin,com.quorum.tessera.eclipselink.AtomicLongSequenceTest.getGeneratedVectorIsNotSupported,68.276,3.206,11.445,0,9.917,0,4.611,51.996,org.mockito.internal.progress.ThreadSafeMockingProgress.MOCKING_PROGRESS_PROVIDER,1957,1951,16
ConsenSys/tessera,ecdd1a2ce6412c11a8ae722d7a4527a4a66da688,eclipselink-utils,com.quorum.tessera.eclipselink.AtomicLongSequenceTest.customisedWithNullDbLogin,com.quorum.tessera.eclipselink.AtomicLongSequenceTest.getGeneratedVectorIsNotSupported,71.314,3.809,15.524,0,15.344,0,5.816,68.568,org.mockito.internal.progress.ThreadSafeMockingProgress.MOCKING_PROGRESS_PROVIDER,1959,1953,16
