#project,sha,module,test,polluter,time_of_phase_0,time_of_phase_1,time_of_phase_2,time_of_phase_3,time_of_phase_4(before),time_of_phase_4(after),time_of_phase_5,time_of_phase_diffFieldAfter,polluted_field,num_of_all_fields,num_of_roots,num_of_diffFields
Activiti/Activiti,b11f757a48600e53aaf3fcb7a3ba1ece6c463cb4,activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeUnAuthorizedTest.aCreateStandaloneTaskForGroup,org.activiti.spring.boot.tasks.TaskRuntimeTaskAssigneeTest.aCreateStandaloneTaskForAnotherAssignee,17.793,9.152,0,38.336,38.018,0,9.568,0.002,FAIL,5619,5616,0
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.serializer.MaxBufSizeTest.test_max_buf,com.alibaba.json.bvt.serializer.SerializeWriterTest_14.test_writer_2,9.766,0.453,1.17,0,1.445,0,0.639,2.587,com.alibaba.fastjson.serializer.SerializeWriter.bufLocal,487,487,4
alibaba/Sentinel,5523fd0d427ba0f66c3e110c2de6347edadcd125,sentinel-core,com.alibaba.csp.sentinel.config.SentinelConfigTest.testDefaultConfig,com.alibaba.csp.sentinel.config.SentinelConfigTest.testColdFactoryLargerThanOne,2.186,0.552,1.299,0,1.096,0,1.025,6.854,com.alibaba.csp.sentinel.config.SentinelConfig.props,87,87,6
alibaba/Sentinel,5523fd0d427ba0f66c3e110c2de6347edadcd125,sentinel-core,com.alibaba.csp.sentinel.TracerTest.setExceptionsToIgnore,com.alibaba.csp.sentinel.TracerTest.setExceptionPredicate,816,1,1.754,0,73.625,0,1.587,423.882,com.alibaba.csp.sentinel.Tracer.exceptionPredicate,1275,1275,10
alibaba/Sentinel,5523fd0d427ba0f66c3e110c2de6347edadcd125,sentinel-core,com.alibaba.csp.sentinel.TracerTest.setExceptionsToTrace,com.alibaba.csp.sentinel.TracerTest.setExceptionPredicate,816.05,1.103,2.128,0,83.701,0,1.824,474.938,com.alibaba.csp.sentinel.Tracer.exceptionPredicate,1275,1275,11
apache/cayenne,5209b9f533ab5f2ac97d31eeb3d1dd2c4dbd64d8,cayenne-client,org.apache.cayenne.CayenneContextClientChannelEventsIT.testSyncToOneRelationship,org.apache.cayenne.CayenneContextClientChannelEventsIT.testSyncSimpleProperty,107.499,2.669,29.007,0,238.813,0,42.072,280.326,FAIL,2969,2969,49
apache/geronimo-batchee,0071edabb6b340cc16f8e9d0e17ff25720b4d0fe,tools/cli,org.apache.batchee.cli.MainTest.executions,org.apache.batchee.cli.MainTest.restart,2.797,1.158,5.18,0,4.76,0,2.769,25.413,org.apache.batchee.container.services.locator.SingletonLocator.MANAGER,123,123,16
apache/hadoop,hadoop-hdfs-project/hadoop-hdfs-httpfs,,org.apache.hadoop.fs.http.server.TestHttpFSServer.instrumentation,org.apache.hadoop.fs.http.server.TestHttpFSServerWebServer.testJustStop,20.162,5.956,57.1,0,29.888,0,12.585,0.004,FAIL,850,850,0
apache/hadoop,hadoop-hdfs-project/hadoop-hdfs-httpfs,,org.apache.hadoop.fs.http.server.TestHttpFSServer.testCreateFileWithUnmaskedPermissions,org.apache.hadoop.fs.http.server.TestHttpFSServerWebServer.testJustStop,15.116,5.821,52.078,0,20.123,0,9.318,0.002,FAIL,850,850,0
apache/hadoop,hadoop-hdfs-project/hadoop-hdfs-httpfs,,org.apache.hadoop.fs.http.server.TestHttpFSServer.testCreateSnapshotNoSnapshotName,org.apache.hadoop.fs.http.server.TestHttpFSServerWebServer.testJustStop,25.846,13.67,69.169,0,37.306,0,19.774,0.01,FAIL,850,850,0
apache/hadoop,hadoop-hdfs-project/hadoop-hdfs-httpfs,,org.apache.hadoop.fs.http.server.TestHttpFSServer.testDelegationTokenOperations,org.apache.hadoop.fs.http.server.TestHttpFSServerWebServer.testJustStop,41.83,23.481,96.251,0,26.902,0,15.912,0.015,FAIL,850,850,0
apache/hadoop,hadoop-hdfs-project/hadoop-hdfs-httpfs,,org.apache.hadoop.fs.http.server.TestHttpFSServer.testDeleteSnapshot,org.apache.hadoop.fs.http.server.TestHttpFSServerWebServer.testJustStop,37.472,16.221,91.076,0,33.052,0,24.027,0.014,FAIL,850,850,0
apache/hadoop,hadoop-hdfs-project/hadoop-hdfs-httpfs,,org.apache.hadoop.fs.http.server.TestHttpFSServer.testFileAcls,org.apache.hadoop.fs.http.server.TestHttpFSServerWebServer.testJustStop,35.256,15.986,87.139,0,38.723,0,16.155,0.009,FAIL,850,850,0
apache/hadoop,hadoop-hdfs-project/hadoop-hdfs-httpfs,,org.apache.hadoop.fs.http.server.TestHttpFSServer.testGetSnapshotDiff,org.apache.hadoop.fs.http.server.TestHttpFSServerWebServer.testJustStop,36.016,16.561,90.14,0,67.219,0,154.089,0.024,FAIL,850,850,0
apache/hadoop,hadoop-hdfs-project/hadoop-hdfs-httpfs,,org.apache.hadoop.fs.http.server.TestHttpFSServer.testGetTrashRoot,org.apache.hadoop.fs.http.server.TestHttpFSServerWebServer.testJustStop,74.069,24.635,163.103,0,38.301,0,24.961,0.02,FAIL,850,850,0
apache/hadoop,hadoop-hdfs-project/hadoop-hdfs-httpfs,,org.apache.hadoop.fs.http.server.TestHttpFSServer.testMkdirWithUnmaskedPermissions,org.apache.hadoop.fs.http.server.TestHttpFSServerWebServer.testJustStop,30.303,20.834,78.164,0,42.979,0,21.981,0.013,FAIL,850,850,0
apache/hadoop,hadoop-hdfs-project/hadoop-hdfs-httpfs,,org.apache.hadoop.fs.http.server.TestHttpFSServer.testOpenOffsetLength,org.apache.hadoop.fs.http.server.TestHttpFSServerWebServer.testJustStop,33.844,19.448,85.187,0,60.104,0,29.093,0.015,FAIL,850,850,0
apache/hadoop,hadoop-hdfs-project/hadoop-hdfs-httpfs,,org.apache.hadoop.fs.http.server.TestHttpFSServer.testPerms,org.apache.hadoop.fs.http.server.TestHttpFSServerWebServer.testJustStop,51.883,22.99,115.249,0,53.583,0,27.581,0.018,FAIL,850,850,0
apache/hadoop,hadoop-hdfs-project/hadoop-hdfs-httpfs,,org.apache.hadoop.fs.http.server.TestHttpFSServer.testRenameSnapshot,org.apache.hadoop.fs.http.server.TestHttpFSServerWebServer.testJustStop,41.028,20.923,0,26.147,41.083,0,23.507,0.014,FAIL,850,850,0
apache/hadoop,hadoop-hdfs-project/hadoop-hdfs-httpfs,,org.apache.hadoop.fs.http.server.TestHttpFSServer.testXAttrs,org.apache.hadoop.fs.http.server.TestHttpFSServerWebServer.testJustStop,42.907,22.827,97.149,0,42.69,0,19.728,0.017,FAIL,850,850,0
apache/hadoop,hadoop-hdfs-project/hadoop-hdfs-httpfs,,org.apache.hadoop.fs.http.server.TestHttpFSServerNoACLs.testWithNoAcls,org.apache.hadoop.fs.http.server.TestHttpFSServerWebServer.testJustStop,49.45,15.245,111.134,0,27.277,0,22.618,0.02,FAIL,807,807,0
apache/hadoop,hadoop-hdfs-project/hadoop-hdfs-httpfs,,org.apache.hadoop.fs.http.server.TestHttpFSServerNoXAttrs.testWithXAttrs,org.apache.hadoop.fs.http.server.TestHttpFSServerWebServer.testJustStop,27.883,15.016,71.121,0,42.54,0,16.778,0.014,FAIL,807,807,0
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-hdfs-project/hadoop-hdfs-nfs,org.apache.hadoop.hdfs.nfs.nfs3.TestRpcProgramNfs3.testAccess,org.apache.hadoop.hdfs.nfs.nfs3.TestDFSClientCache.testGetUserGroupInformationSecure,13.038,5.687,28.057,0,39.093,0,14.424,0.003,FAIL,6497,null,0
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-hdfs-project/hadoop-hdfs-nfs,org.apache.hadoop.hdfs.nfs.nfs3.TestRpcProgramNfs3.testCommit,org.apache.hadoop.hdfs.nfs.nfs3.TestDFSClientCache.testGetUserGroupInformationSecure,23.504,17.384,30.134,0,42.208,0,18.67,0.009,FAIL,6497,null,0
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-hdfs-project/hadoop-hdfs-nfs,org.apache.hadoop.hdfs.nfs.nfs3.TestRpcProgramNfs3.testCreate,org.apache.hadoop.hdfs.nfs.nfs3.TestDFSClientCache.testGetUserGroupInformationSecure,26.516,16.429,29.239,0,43.309,43.228,15.132,0.009,FAIL,1622,1622,0
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-hdfs-project/hadoop-hdfs-nfs,org.apache.hadoop.hdfs.nfs.nfs3.TestRpcProgramNfs3.testFsinfo,org.apache.hadoop.hdfs.nfs.nfs3.TestDFSClientCache.testGetUserGroupInformationSecure,28.487,14.604,29.367,0,44.221,0,14.037,0.016,FAIL,6497,null,0
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-hdfs-project/hadoop-hdfs-nfs,org.apache.hadoop.hdfs.nfs.nfs3.TestRpcProgramNfs3.testFsstat,org.apache.hadoop.hdfs.nfs.nfs3.TestDFSClientCache.testGetUserGroupInformationSecure,33.327,26.823,30.217,0,46.173,0,20.588,0.012,FAIL,6497,null,0
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-hdfs-project/hadoop-hdfs-nfs,org.apache.hadoop.hdfs.nfs.nfs3.TestRpcProgramNfs3.testGetattr,org.apache.hadoop.hdfs.nfs.nfs3.TestDFSClientCache.testGetUserGroupInformationSecure,25.181,18.664,29.146,0,43.151,0,27.321,0.017,FAIL,6497,null,0
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-hdfs-project/hadoop-hdfs-nfs,org.apache.hadoop.hdfs.nfs.nfs3.TestRpcProgramNfs3.testLookup,org.apache.hadoop.hdfs.nfs.nfs3.TestDFSClientCache.testGetUserGroupInformationSecure,38.107,18.32,29.156,0,52.293,0,29.428,0.594,FAIL,6497,null,0
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-hdfs-project/hadoop-hdfs-nfs,org.apache.hadoop.hdfs.nfs.nfs3.TestRpcProgramNfs3.testMkdir,org.apache.hadoop.hdfs.nfs.nfs3.TestDFSClientCache.testGetUserGroupInformationSecure,49.068,26.224,29.739,0,971.963,45.465,15.765,0.006,FAIL,1622,1622,0
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-hdfs-project/hadoop-hdfs-nfs,org.apache.hadoop.hdfs.nfs.nfs3.TestRpcProgramNfs3.testPathconf,org.apache.hadoop.hdfs.nfs.nfs3.TestDFSClientCache.testGetUserGroupInformationSecure,51.978,19.202,29.31,0,50.295,0,22.938,0.014,FAIL,6497,null,0
apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-hdfs-project/hadoop-hdfs-nfs,org.apache.hadoop.hdfs.nfs.nfs3.TestRpcProgramNfs3.testRead,org.apache.hadoop.hdfs.nfs.nfs3.TestDFSClientCache.testGetUserGroupInformationSecure,20.963,11.761,28.069,0,41.145,0,17.078,0.01,FAIL,6497,null,0
